X,Y,word
73.09,143.96,shou
73.84,142.32,shou
74.6,140.68,shou
75.35,139.04,shou
76.11,137.4,shou
76.86,135.76,shou
77.61,134.11,shou
78.35,132.46,shou
79.09,130.82,shou
79.83,129.17,shou
80.57,127.52,shou
81.31,125.87,shou
82.04,124.22,shou
82.77,122.57,shou
83.5,120.92,shou
84.23,119.26,shou
84.96,117.61,shou
85.78,116.01,shou
86.7,114.45,shou
87.62,112.9,shou
88.54,111.34,shou
89.46,109.79,shou
90.37,108.23,shou
91.43,106.77,shou
92.49,105.3,shou
93.55,103.84,shou
94.61,102.37,shou
95.66,100.91,shou
96.8,99.51,shou
98.01,98.17,shou
99.23,96.83,shou
100.44,95.49,shou
101.65,94.15,shou
102.87,92.82,shou
104.15,91.54,shou
105.43,90.27,shou
106.71,88.99,shou
107.99,87.72,shou
109.27,86.44,shou
110.62,85.25,shou
112.05,84.14,shou
113.47,83.04,shou
114.9,81.93,shou
116.33,80.82,shou
117.75,79.71,shou
119.4,78.97,shou
121.04,78.22,shou
122.69,77.48,shou
124.34,76.74,shou
125.98,75.99,shou
127.71,75.62,shou
129.51,75.63,shou
131.32,75.64,shou
133.13,75.65,shou
134.93,75.66,shou
136.74,75.66,shou
138.4,76.37,shou
140.07,77.07,shou
141.73,77.77,shou
143.4,78.47,shou
145.06,79.17,shou
146.62,80.05,shou
148.08,81.13,shou
149.53,82.2,shou
150.98,83.27,shou
152.44,84.34,shou
153.89,85.42,shou
155.17,86.69,shou
156.46,87.96,shou
157.74,89.23,shou
159.03,90.5,shou
160.31,91.77,shou
161.6,93.04,shou
162.88,94.31,shou
164.17,95.57,shou
165.45,96.84,shou
166.74,98.11,shou
168.02,99.38,shou
169.18,100.77,shou
170.33,102.16,shou
171.49,103.55,shou
172.64,104.94,shou
173.8,106.33,shou
174.91,107.75,shou
175.99,109.2,shou
177.07,110.65,shou
178.15,112.09,shou
179.23,113.54,shou
180.31,114.99,shou
181.05,116.64,shou
181.8,118.28,shou
182.54,119.93,shou
183.29,121.57,shou
184.04,123.22,shou
184.78,124.86,shou
185.53,126.51,shou
186.28,128.15,shou
187.03,129.79,shou
187.78,131.44,shou
188.53,133.08,shou
72.85,119.32,shi
74,118.35,shi
75.15,117.37,shi
76.29,116.4,shi
77.43,115.41,shi
78.55,114.41,shi
79.68,113.41,shi
80.78,112.38,shi
81.85,111.32,shi
82.92,110.26,shi
83.94,109.16,shi
84.9,108,shi
85.86,106.84,shi
86.82,105.68,shi
87.77,104.51,shi
88.72,103.35,shi
89.68,102.18,shi
90.61,101,shi
91.55,99.82,shi
92.48,98.64,shi
93.52,97.56,shi
94.59,96.49,shi
95.65,95.43,shi
96.81,94.48,shi
98.03,93.6,shi
99.25,92.71,shi
100.5,91.88,shi
101.8,91.11,shi
103.09,90.35,shi
104.4,89.6,shi
105.75,88.94,shi
107.1,88.28,shi
108.46,87.62,shi
109.85,87.05,shi
111.25,86.49,shi
112.64,85.92,shi
114.08,85.48,shi
115.52,85.05,shi
116.97,84.61,shi
118.39,84.14,shi
119.82,83.65,shi
121.24,83.16,shi
122.66,82.67,shi
124.08,82.17,shi
125.51,81.68,shi
126.94,81.21,shi
128.39,80.81,shi
129.84,80.41,shi
131.3,80.03,shi
132.78,79.75,shi
134.26,79.48,shi
135.74,79.2,shi
137.24,79.18,shi
138.74,79.18,shi
140.25,79.18,shi
141.75,79.25,shi
143.25,79.34,shi
144.76,79.44,shi
146.24,79.65,shi
147.72,79.97,shi
149.19,80.28,shi
150.64,80.66,shi
152.04,81.21,shi
153.45,81.75,shi
154.84,82.31,shi
156.16,83.04,shi
157.47,83.77,shi
158.79,84.5,shi
160.08,85.27,shi
161.37,86.05,shi
162.67,86.82,shi
163.86,87.73,shi
165.02,88.69,shi
166.18,89.65,shi
167.2,90.75,shi
168.1,91.95,shi
169,93.16,shi
169.79,94.43,shi
170.38,95.81,shi
170.98,97.2,shi
171.55,98.59,shi
171.99,100.03,shi
172.43,101.47,shi
172.87,102.91,shi
173.26,104.36,shi
173.65,105.82,shi
174.04,107.27,shi
174.43,108.72,shi
174.81,110.18,shi
175.19,111.64,shi
175.56,113.1,shi
175.93,114.56,shi
176.29,116.02,shi
176.62,117.49,shi
176.88,118.97,shi
177.13,120.45,shi
177.39,121.93,shi
177.69,123.41,shi
177.98,124.89,shi
178.27,126.37,shi
84.01,114.93,shai
85.24,114.29,shai
86.46,113.64,shai
87.69,113,shai
88.91,112.35,shai
90.14,111.71,shai
91.37,111.07,shai
92.6,110.42,shai
93.83,109.79,shai
95.06,109.16,shai
96.29,108.52,shai
97.53,107.91,shai
98.79,107.33,shai
100.05,106.75,shai
101.3,106.17,shai
102.56,105.58,shai
103.81,104.99,shai
105.07,104.41,shai
106.31,103.79,shai
107.52,103.13,shai
108.74,102.46,shai
109.95,101.79,shai
111.16,101.11,shai
112.36,100.43,shai
113.56,99.74,shai
114.75,99.03,shai
115.9,98.25,shai
117.04,97.47,shai
118.19,96.69,shai
119.28,95.84,shai
120.35,94.96,shai
121.42,94.09,shai
122.48,93.19,shai
123.46,92.22,shai
124.45,91.25,shai
125.44,90.27,shai
126.37,89.25,shai
127.28,88.21,shai
128.19,87.16,shai
129.09,86.11,shai
129.97,85.04,shai
130.85,83.97,shai
131.73,82.9,shai
132.66,81.88,shai
133.63,80.89,shai
134.6,79.9,shai
135.57,78.91,shai
136.74,78.17,shai
137.91,77.43,shai
139.08,76.68,shai
140.33,76.11,shai
141.65,75.71,shai
142.98,75.31,shai
144.3,74.91,shai
145.68,74.83,shai
147.07,74.77,shai
148.45,74.71,shai
149.82,74.83,shai
151.16,75.18,shai
152.5,75.53,shai
153.84,75.89,shai
155.07,76.51,shai
156.29,77.17,shai
157.51,77.82,shai
158.65,78.58,shai
159.67,79.53,shai
160.68,80.47,shai
161.69,81.42,shai
162.58,82.47,shai
163.45,83.55,shai
164.32,84.63,shai
165.17,85.72,shai
166.01,86.83,shai
166.84,87.94,shai
167.67,89.05,shai
168.44,90.19,shai
169.2,91.36,shai
169.95,92.52,shai
170.71,93.67,shai
171.51,94.81,shai
172.31,95.94,shai
173.11,97.07,shai
173.93,98.18,shai
174.77,99.29,shai
175.6,100.39,shai
176.44,101.49,shai
177.32,102.57,shai
178.19,103.64,shai
179.06,104.72,shai
179.85,105.85,shai
180.59,107.03,shai
181.32,108.2,shai
182.05,109.38,shai
182.66,110.62,shai
183.28,111.86,shai
183.89,113.11,shai
184.51,114.34,shai
185.14,115.58,shai
185.77,116.81,shai
186.4,118.04,shai
