Participant,Gender,Consonant,Following_Vowel,Rating,Stimuli,Curvature_Degree,Curvature_Location,MCI,real_1,imag_1,mod_1,F2_mean,F3_mean,COG,Dispersion,Skewness
P1,F,sh,u,humped,shuben,0.274871981,0.48060325,2.062802034,38.23509028,-41.14497713,56.1678847,2131.348114,3225.720164,4871.64577,2184.85234,-0.373340549
P1,F,ch,u,humped,churu,0.362486985,0.422369378,2.369164942,31.94418566,-44.88495204,55.09165015,1859.989408,3089.885878,4663.879355,2337.550123,-0.201169305
P1,F,z,a,Alveolar,zadao,0.231771889,0.431957376,1.67396382,37.61440861,-44.91737816,58.58681248,2147.035116,3271.360941,6823.529829,3002.204637,-1.036736085
P1,F,s,i,Alveolar,siji,0.27405305,0.411869694,2.790135903,28.57107249,-53.92249396,61.0241062,2028.537938,3180.709731,6965.161599,2877.645257,-0.966005135
P1,F,ch,i,humped,chifan,0.29940622,0.540514783,2.597467147,32.72798006,-45.66118966,56.17886542,2251.633316,3565.240257,4752.47904,1999.71919,-0.316171139
P1,F,c,i,Alveolar,ciya,0.24145504,0.427705489,1.945201764,38.39591903,-43.0308705,57.67063737,2119.948306,3255.062912,6728.678689,2775.209207,-0.78424828
P1,F,sh,i,humped,shibai,0.343199564,0.354590056,2.374097929,27.47627574,-50.43172898,57.43087164,2124.043727,3545.208565,4969.428565,1841.738287,0.13362421
P1,F,z,i,Alveolar,ziben,0.263572646,0.485338276,1.973645301,33.674509,-48.23457164,58.82640952,2138.769105,3231.931341,6167.120412,3213.63317,-0.596391851
P1,F,zh,a,humped,zhadui,0.295262403,0.378850009,2.587572987,34.28957675,-31.39862164,46.49353196,2350.100696,3617.897696,4917.283931,2067.767406,0.016652077
P1,F,ch,a,humped,chaqu,0.29044628,0.395884077,2.213121884,26.53181651,-56.50517456,62.42413026,2110.275159,2630.61116,2591.643341,2254.272596,1.412801471
P1,F,s,a,Alveolar,sahuang,0.239994469,0.492376718,1.777735027,27.37242294,-58.99857202,65.03907317,2210.659894,3040.297004,7308.228607,2696.354604,-1.426566183
P1,F,c,a,Alveolar,cayao,0.249222914,0.46543508,1.600645349,32.50234987,-53.69533845,62.76617017,2060.303026,2787.63947,3408.898681,2653.927841,0.82378049
P1,F,sh,a,humped,shafa,0.319495343,0.456420197,2.487098666,23.92183538,-56.67070247,61.51278506,2326.825572,3246.264512,4913.633011,2339.725002,0.069046261
P1,F,zh,u,humped,zhurou,0.387978382,0.371620423,3.613453146,28.33313162,-48.79193177,56.42179502,1829.987451,2954.238395,5320.17448,2491.100064,-0.769429196
P1,F,zh,i,humped,zhidao,0.289979954,0.391252883,2.566912554,32.62257091,-47.95442845,57.99878741,2255.638676,3686.186171,4558.968218,2593.848455,0.160370739
P1,F,z,u,Alveolar,zufang,0.30766752,0.542994254,2.198619348,32.39643586,-50.62599455,60.10424595,2263.412355,3256.233027,4624.034515,3034.294537,-0.00941434
P1,F,c,u,Alveolar,cuxin,0.266139532,0.417014559,2.095556944,28.99186083,-57.0772488,64.01828118,1993.294293,3092.923848,3620.088107,2583.317123,0.520834564
P1,F,s,u,Alveolar,suxing,0.314319506,0.56356247,2.301168607,29.67339576,-54.98546581,62.48129213,2065.378002,3169.304986,5942.330481,2561.705943,-0.534858486
P2,M,sh,u,humped,shuben,0.349566859,0.457084814,2.158227015,22.70366576,-57.42302564,61.74836283,2329.7064,3284.544784,4782.353918,2446.774348,0.247245616
P2,M,ch,u,humped,churu,0.343960459,0.452449685,2.32002347,24.69593107,-54.82034614,60.12619531,2154.624443,3162.635013,4110.079844,2627.531622,0.251976527
P2,M,z,a,Alveolar,zadao,0.306388979,0.609384026,2.337062403,20.58900583,-61.83101947,65.16887394,2138.596789,3307.820815,6666.305173,3057.836289,-1.012726937
P2,M,s,i,Alveolar,siji,0.34264102,0.550296543,2.0119214,3.777668915,-65.82400738,65.93231932,2166.250392,3270.061348,6610.191912,2453.370023,-1.049365719
P2,M,ch,i,humped,chifan,0.311314155,0.490907398,2.204604177,27.22286479,-55.20551044,61.55268273,2647.523592,3296.88645,4421.122644,2068.544976,0.274539308
P2,M,c,i,Alveolar,ciya,0.30734502,0.58848253,2.079184549,19.29226929,-61.28888945,64.25355729,1985.103289,3207.388177,6264.591328,2689.187587,-0.956325261
P2,M,sh,i,humped,shibai,0.331540267,0.455818178,2.257779737,26.48066245,-55.2152769,61.236854,2682.755707,3476.606723,4687.926688,1827.35549,0.377663545
P2,M,z,i,Alveolar,ziben,0.376239024,0.546489338,1.922646471,8.035517772,-61.69590397,62.21699216,1916.416309,3124.032012,6273.158035,3059.681375,-0.866728846
P2,M,zh,a,humped,zhadui,0.264590412,0.437981709,2.537928512,29.41321481,-53.3335262,60.90650395,2098.655996,3156.754097,4118.115083,2538.862237,0.162736862
P2,M,ch,a,humped,chaqu,0.334482478,0.45055149,2.283963778,17.86814961,-61.49583612,64.03911797,1941.971702,3029.454253,2287.868312,2079.741773,1.641020135
P2,M,s,a,Alveolar,sahuang,0.341215472,0.606571216,3.32816503,-4.984922334,-61.3853359,61.58740873,2074.195145,3096.912154,7123.952037,2529.253301,-1.245148943
P2,M,c,a,Alveolar,cayao,0.347885037,0.61731911,2.873708899,4.218787118,-60.04462791,60.19265326,1999.786441,3155.268406,5834.267607,3053.72948,-0.711581386
P2,M,sh,a,humped,shafa,0.314672972,0.458524686,1.861716345,22.34305368,-59.24322206,63.31643868,2471.71384,3406.138337,4696.058524,2185.859296,-0.165373826
P2,M,zh,u,humped,zhurou,0.352822708,0.44725164,2.406299617,25.79884659,-54.2477067,60.06991067,2498.291521,3382.684095,4792.855022,2633.199652,-0.174559868
P2,M,zh,i,humped,zhidao,0.369651028,0.407758989,2.081787293,21.54473964,-57.94763841,61.82317206,2700.552747,3394.377904,4375.187023,1919.49405,0.672872817
P2,M,z,u,Alveolar,zufang,0.335424063,0.677877962,2.781595093,-2.481860172,-60.2648247,60.31590774,2295.599325,3516.702687,6071.378576,2864.836273,-0.743753822
P2,M,c,u,Alveolar,cuxin,0.322891615,0.586922182,2.982931027,5.154076777,-54.63177404,54.87435869,2372.25225,3656.419012,5398.383637,2918.432572,-0.386872922
P2,M,s,u,Alveolar,suxing,0.30678919,0.545028038,3.113245372,6.611825452,-54.83281871,55.23001217,2161.014668,3442.173878,6241.868075,2927.269159,-0.70586637
P3,F,sh,u,humped,shuben,0.261073356,0.629264884,2.301192937,15.65345221,-67.48814544,69.27972532,2285.375134,3115.501929,5656.458588,2859.238172,-0.437834372
P3,F,ch,u,humped,churu,0.276722479,0.612111914,2.228537768,15.7913476,-57.19403032,59.33400174,2003.399834,3065.401528,4350.895349,2943.096835,0.213954798
P3,F,z,a,Alveolar,zadao,0.273142334,0.517588832,2.035472393,10.81110099,-66.84090618,67.70957571,2220.984123,3113.343973,7202.745993,2808.465577,-1.202936131
P3,F,s,i,Alveolar,siji,0.256294919,0.538133257,1.903297755,4.36169797,-69.17780432,69.31517164,2241.998746,3247.80659,7276.985298,3062.393012,-1.333528249
P3,F,ch,i,humped,chifan,0.223980627,0.378623391,1.779386352,37.40830152,-43.94133298,57.70807367,2476.532928,3033.13726,5207.996232,2851.832809,-0.131730999
P3,F,c,i,Alveolar,ciya,0.281525272,0.561402643,2.70176766,-7.756678745,-66.48431144,66.93526524,2217.547903,3115.357767,6536.859237,3133.618295,-0.871583063
P3,F,sh,i,humped,shibai,0.296033564,0.609566913,2.170978618,19.32206028,-58.57151758,61.67628949,2502.144802,2964.259241,5326.634631,2468.957316,-0.011617349
P3,F,z,i,Alveolar,ziben,0.234973976,0.530139255,1.759729017,2.268563836,-70.41954455,70.45607593,1993.853069,2992.949074,6158.968563,3220.810762,-0.635468848
P3,F,zh,a,humped,zhadui,0.202030458,0.360034821,1.645365226,39.25213603,-39.71719804,55.84071993,2230.512176,2946.330798,4070.529786,2747.091014,0.50572429
P3,F,ch,a,humped,chaqu,0.268977837,0.493574628,2.045325882,17.33735662,-64.48007075,66.77022883,2259.495579,3003.395244,3437.033885,2690.230895,0.821111726
P3,F,s,a,Alveolar,sahuang,0.267538712,0.581600176,2.440870345,-7.757269064,-66.74945564,67.19869829,2118.488006,3084.018425,8323.145932,1880.193188,-2.661277639
P3,F,c,a,Alveolar,cayao,0.235111384,0.590255469,1.89384019,-7.684855806,-63.71606713,64.17783277,2023.158733,3018.75658,3158.45602,2648.855416,0.833270535
P3,F,sh,a,humped,shafa,0.230462244,0.494433437,1.871033525,29.6479594,-59.42757817,66.41263843,2546.447491,3145.700548,5773.818752,2853.648103,-0.488312722
P3,F,zh,u,humped,zhurou,0.217923035,0.556930402,1.908451739,38.43970515,-37.29178181,53.55639945,2021.272173,3066.609735,5574.395011,2633.419566,-0.428023785
P3,F,zh,i,humped,zhidao,0.250364928,0.530630315,1.930184435,37.18676837,-43.109893,56.93257957,2600.868666,3207.230947,5679.82144,2598.788864,-0.184140338
P3,F,z,u,Alveolar,zufang,0.297208348,0.557276308,2.64225936,-8.029016055,-67.05536843,67.53434336,2082.560725,3335.751579,5861.667517,3208.654409,-0.383778981
P3,F,c,u,Alveolar,cuxin,0.312840394,0.660124924,3.682598129,-4.748848563,-60.39255951,60.57897991,1993.682878,3242.556331,5586.193957,3123.877848,-0.323308261
P3,F,s,u,Alveolar,suxing,0.284190279,0.624136748,2.542181458,-14.53340812,-62.07895965,63.75748727,1937.393585,3270.172794,6845.981679,2966.109982,-1.009525317
P4,F,sh,u,humped,shuben,0.303061362,0.40340323,2.524631104,21.03532248,-59.52598176,63.13340872,2285.325761,3023.870729,3568.414075,2171.376723,0.546643408
P4,F,ch,u,humped,churu,0.298078095,0.284426373,2.003462535,33.94378049,-42.76980296,54.60252998,2043.612474,3011.446431,3745.034024,2491.5816,0.501636891
P4,F,z,a,Alveolar,zadao,0.264660109,0.52032738,1.552984629,30.87985505,-52.53213378,60.93595431,2038.859059,3161.115651,6086.909231,2718.023046,-0.373505439
P4,F,s,i,Alveolar,siji,0.259133992,0.358937606,1.904206441,32.26587929,-48.61049901,58.34438774,2268.145317,3256.936837,6610.864689,2841.82063,-0.873166839
P4,F,ch,i,humped,chifan,0.358761134,0.329220053,2.7826614,29.92574721,-46.94886537,55.67536534,2421.826638,3070.805571,3736.218955,1711.610769,0.883958974
P4,F,c,i,Alveolar,ciya,0.281143038,0.401236558,1.656945504,26.97002537,-57.22217842,63.25946548,2137.694681,3076.817424,6290.285702,3250.466623,-0.539827602
