Participant,X,Y,Word,Radius,Consonant,Vowel,Section
P1,121.2019,47.6028,shuben,130.2149267,sh,u,
P1,119.5203,49.7257,shuben,129.4517182,sh,u,
P1,117.159,51.1256,shuben,127.8282373,sh,u,
P1,115.0527,52.7723,shuben,126.5781949,sh,u,
P1,112.9761,54.4508,shuben,125.413272,sh,u,
P1,110.3045,55.2861,shuben,123.3840977,sh,u,Front
P1,108.0526,56.656,shuben,122.0051913,sh,u,Front
P1,105.8881,58.1667,shuben,120.8124775,sh,u,Front
P1,103.6545,59.5847,shuben,119.5599927,sh,u,Front
P1,101.2705,60.7263,shuben,118.082165,sh,u,Front
P1,98.9488,62.0085,shuben,116.7729382,sh,u,Front
P1,96.2342,62.3393,shuben,114.6612819,sh,u,Front
P1,93.5677,62.6445,shuben,112.6021663,sh,u,Front
P1,90.7967,62.4464,shuben,110.1979746,sh,u,Front
P1,88.197,62.6009,shuben,108.1553674,sh,u,Front
P1,85.4106,61.7141,shuben,105.3736245,sh,u,Front
P1,82.8929,61.6829,shuben,103.3247938,sh,u,Front
P1,80.3239,61.0143,shuben,100.8695877,sh,u,Front
P1,77.8769,60.7689,shuben,98.78092306,sh,u,Front
P1,75.4393,60.04,shuben,96.41519374,sh,u,Front
P1,73.0639,59.0337,shuben,93.93248224,sh,u,Front
P1,70.7586,58.6886,shuben,91.9300345,sh,u,Back
P1,68.5157,57.674,shuben,89.55831297,sh,u,Back
P1,66.3708,56.372,shuben,87.07976502,sh,u,Back
P1,64.3489,54.8013,shuben,84.52197,sh,u,Back
P1,62.2964,53.9706,shuben,82.42370483,sh,u,Back
P1,60.3771,52.7015,shuben,80.14263726,sh,u,Back
P1,58.553,51.3245,shuben,77.86307282,sh,u,Back
P1,56.7987,49.9513,shuben,75.63877771,sh,u,Back
P1,55.311,48.0017,shuben,73.23571481,sh,u,Back
P1,53.9599,45.9941,shuben,70.90224286,sh,u,Back
P1,52.7106,44.0221,shuben,68.67570634,sh,u,Back
P1,51.2354,42.7539,shuben,66.73051909,sh,u,Back
P1,49.9954,41.1274,shuben,64.73795681,sh,u,Back
P1,48.892,39.3983,shuben,62.79055428,sh,u,Back
P1,47.7663,37.8414,shuben,60.93923998,sh,u,Back
P1,46.6266,36.4018,shuben,59.15345189,sh,u,Back
P1,45.4153,35.1255,shuben,57.41385046,sh,u,
P1,44.3445,33.714,shuben,55.70519254,sh,u,
P1,43.3679,32.2451,shuben,54.04184697,sh,u,
P1,42.4712,30.7433,shuben,52.4304618,sh,u,
P1,41.4681,29.3955,shuben,50.83009677,sh,u,
P1,119.4546,45.9154,churu,127.9750969,ch,u,
P1,117.9209,48.0554,churu,127.336798,ch,u,
P1,116.082,49.9087,churu,126.3562783,ch,u,
P1,113.8893,51.3493,churu,124.9300735,ch,u,
P1,112.1854,53.4025,churu,124.2472977,ch,u,
P1,110.2167,55.1597,churu,123.2489897,ch,u,Front
P1,108.1988,56.8851,churu,122.2411343,ch,u,Front
P1,105.9737,58.3132,churu,120.9580687,ch,u,Front
P1,103.9845,60.2041,churu,120.1553573,ch,u,Front
P1,101.8421,61.9084,churu,119.1824791,ch,u,Front
P1,99.5317,63.3453,churu,117.9796014,ch,u,Front
P1,97.1585,64.708,churu,116.7343111,ch,u,Front
P1,94.478,65.2772,churu,114.8355578,ch,u,Front
P1,91.8106,65.7983,churu,112.9539842,ch,u,Front
P1,89.1332,66.1988,churu,111.0270619,ch,u,Front
P1,86.2363,65.4877,churu,108.2836012,ch,u,Front
P1,83.497,65.0753,churu,105.8609639,ch,u,Front
P1,80.7908,64.3993,churu,103.3171003,ch,u,Front
P1,78.1022,63.0632,churu,100.3838674,ch,u,Front
P1,75.5566,62.0342,churu,97.76012364,ch,u,Front
P1,73.0962,60.683,churu,95.00253125,ch,u,Front
P1,70.7778,57.7109,churu,91.32384657,ch,u,Back
P1,68.6878,54.7467,churu,87.83629677,ch,u,Back
P1,66.7574,52.436,churu,84.88865973,ch,u,Back
P1,64.9467,50.4675,churu,82.24987779,ch,u,Back
