Participant,X,Y,Word,Consonant,Vowel,Section
P1,121.2019,47.6028,shuben,sh,u,
P1,119.5203,49.7257,shuben,sh,u,
P1,117.159,51.1256,shuben,sh,u,
P1,115.0527,52.7723,shuben,sh,u,
P1,112.9761,54.4508,shuben,sh,u,
P1,110.3045,55.2861,shuben,sh,u,Front
P1,108.0526,56.656,shuben,sh,u,Front
P1,105.8881,58.1667,shuben,sh,u,Front
P1,103.6545,59.5847,shuben,sh,u,Front
P1,101.2705,60.7263,shuben,sh,u,Front
P1,98.9488,62.0085,shuben,sh,u,Front
P1,96.2342,62.3393,shuben,sh,u,Front
P1,93.5677,62.6445,shuben,sh,u,Front
P1,90.7967,62.4464,shuben,sh,u,Front
P1,88.197,62.6009,shuben,sh,u,Front
P1,85.4106,61.7141,shuben,sh,u,Front
P1,82.8929,61.6829,shuben,sh,u,Front
P1,80.3239,61.0143,shuben,sh,u,Front
P1,77.8769,60.7689,shuben,sh,u,Front
P1,75.4393,60.04,shuben,sh,u,Front
P1,73.0639,59.0337,shuben,sh,u,Front
P1,70.7586,58.6886,shuben,sh,u,Back
P1,68.5157,57.674,shuben,sh,u,Back
P1,66.3708,56.372,shuben,sh,u,Back
P1,64.3489,54.8013,shuben,sh,u,Back
P1,62.2964,53.9706,shuben,sh,u,Back
P1,60.3771,52.7015,shuben,sh,u,Back
P1,58.553,51.3245,shuben,sh,u,Back
P1,56.7987,49.9513,shuben,sh,u,Back
P1,55.311,48.0017,shuben,sh,u,Back
P1,53.9599,45.9941,shuben,sh,u,Back
P1,52.7106,44.0221,shuben,sh,u,Back
P1,51.2354,42.7539,shuben,sh,u,Back
P1,49.9954,41.1274,shuben,sh,u,Back
P1,48.892,39.3983,shuben,sh,u,Back
P1,47.7663,37.8414,shuben,sh,u,Back
P1,46.6266,36.4018,shuben,sh,u,Back
P1,45.4153,35.1255,shuben,sh,u,
P1,44.3445,33.714,shuben,sh,u,
P1,43.3679,32.2451,shuben,sh,u,
P1,42.4712,30.7433,shuben,sh,u,
P1,41.4681,29.3955,shuben,sh,u,
P1,119.4546,45.9154,churu,ch,u,
P1,117.9209,48.0554,churu,ch,u,
P1,116.082,49.9087,churu,ch,u,
P1,113.8893,51.3493,churu,ch,u,
P1,112.1854,53.4025,churu,ch,u,
P1,110.2167,55.1597,churu,ch,u,Front
P1,108.1988,56.8851,churu,ch,u,Front
P1,105.9737,58.3132,churu,ch,u,Front
P1,103.9845,60.2041,churu,ch,u,Front
P1,101.8421,61.9084,churu,ch,u,Front
P1,99.5317,63.3453,churu,ch,u,Front
P1,97.1585,64.708,churu,ch,u,Front
P1,94.478,65.2772,churu,ch,u,Front
P1,91.8106,65.7983,churu,ch,u,Front
P1,89.1332,66.1988,churu,ch,u,Front
P1,86.2363,65.4877,churu,ch,u,Front
P1,83.497,65.0753,churu,ch,u,Front
P1,80.7908,64.3993,churu,ch,u,Front
P1,78.1022,63.0632,churu,ch,u,Front
P1,75.5566,62.0342,churu,ch,u,Front
P1,73.0962,60.683,churu,ch,u,Front
P1,70.7778,57.7109,churu,ch,u,Back
P1,68.6878,54.7467,churu,ch,u,Back
P1,66.7574,52.436,churu,ch,u,Back
P1,64.9467,50.4675,churu,ch,u,Back
P1,63.3774,47.9007,churu,ch,u,Back
P1,61.7844,46.2698,churu,ch,u,Back
P1,60.2262,44.8943,churu,ch,u,Back
P1,58.744,43.52,churu,ch,u,Back
P1,57.3327,42.1544,churu,ch,u,Back
P1,56.0972,40.5172,churu,ch,u,Back
P1,54.9365,38.9178,churu,ch,u,Back
P1,53.7734,37.505,churu,ch,u,Back
P1,52.6023,36.2344,churu,ch,u,Back
P1,51.3208,35.2408,churu,ch,u,Back
P1,50.1085,34.1701,churu,ch,u,Back
P1,49.0516,32.9101,churu,ch,u,Back
