x,y,word,
126.2452,52.4731,shuben,书本
124.1383,54.5487,shuben,书本
122.3157,56.9517,shuben,书本
120.4707,59.3993,shuben,书本
118.16,61.3239,shuben,书本
115.6878,63.0373,shuben,书本
113.2087,64.7381,shuben,书本
110.6839,66.3762,shuben,书本
107.7661,67.3018,shuben,书本
105.1432,68.7356,shuben,书本
102.2721,69.6294,shuben,书本
99.382,70.406,shuben,书本
96.636,71.5187,shuben,书本
93.9341,72.8188,shuben,书本
91.1424,73.9206,shuben,书本
88.1325,74.1547,shuben,书本
85.1342,74.2686,shuben,书本
82.1393,74.1754,shuben,书本
79.1302,73.5287,shuben,书本
76.191,72.8204,shuben,书本
73.3136,71.7849,shuben,书本
70.5222,70.7625,shuben,书本
67.7871,70.061,shuben,书本
65.1875,68.419,shuben,书本
62.708,66.6973,shuben,书本
60.4444,64.3702,shuben,书本
58.3268,62.0723,shuben,书本
56.362,59.7449,shuben,书本
54.9183,56.1679,shuben,书本
53.3564,53.6547,shuben,书本
51.7819,51.5756,shuben,书本
50.314,49.518,shuben,书本
49.0737,47.2246,shuben,书本
47.8016,45.2448,shuben,书本
46.7505,43.064,shuben,书本
45.7212,41.0471,shuben,书本
44.615,39.2982,shuben,书本
43.7258,37.3657,shuben,书本
42.1534,36.394,shuben,书本
41.1956,34.6994,shuben,书本
40.0841,33.2364,shuben,书本
38.979,31.7991,shuben,书本
124.2062,50.504,churu,出入  
122.5479,52.8877,churu,出入  
120.6296,55.0467,churu,出入  
118.4353,56.9097,churu,出入  
116.3171,58.8805,churu,出入  
114.3473,61.1071,churu,出入  
112.3331,63.3656,churu,出入  
110.2327,65.6038,churu,出入  
107.3502,66.5212,churu,出入  
104.5716,67.5535,churu,出入  
101.9806,68.9611,churu,出入  
99.4264,70.5199,churu,出入  
96.7361,71.8082,churu,出入  
94.0191,73.0996,churu,出入  
90.9624,73.2288,churu,出入  
88.0646,73.8442,churu,出入  
85.0109,73.5763,churu,出入  
81.9499,72.802,churu,出入  
79.0315,72.5239,churu,出入  
76.1324,71.8226,churu,出入  
73.3009,71.1335,churu,出入  
70.5607,68.7969,churu,出入  
67.9983,66.4704,churu,出入  
65.6084,64.1338,churu,出入  
63.4212,61.5272,churu,出入  
61.4129,58.9318,churu,出入  
59.5297,56.5749,churu,出入  
57.895,53.8534,churu,出入  
56.1762,52.0093,churu,出入  
54.6032,50.0487,churu,出入  
52.9472,48.5893,churu,出入  
51.3252,47.1991,churu,出入  
49.7824,45.759,churu,出入  
48.1391,44.6114,churu,出入  
46.728,43.1025,churu,出入  
45.3863,41.572,churu,出入  
43.944,40.2644,churu,出入  
42.6684,38.7676,churu,出入  
41.4443,37.2614,churu,出入  
40.1176,35.9174,churu,出入  
38.7881,34.5899,churu,出入  
37.4831,33.2437,churu,出入  
120.5698,46.9924,zadao,匝道  
117.4594,47.5734,zadao,匝道  
115.5987,49.3627,zadao,匝道  
113.599,50.9942,zadao,匝道  
111.3229,52.2589,zadao,匝道  
109.2872,53.8214,zadao,匝道  
107.0811,55.1332,zadao,匝道  
105.1866,56.9659,zadao,匝道  
103.0912,58.5275,zadao,匝道  
100.9531,60.0698,zadao,匝道  
98.4325,60.8247,zadao,匝道  
96.0799,61.9441,zadao,匝道  
93.4676,62.3549,zadao,匝道  
90.9432,62.931,zadao,匝道  
88.5135,63.8174,zadao,匝道  
86.0383,64.5829,zadao,匝道  
83.4758,64.9564,zadao,匝道  
80.9231,65.3581,zadao,匝道  
78.3239,65.3203,zadao,匝道  
75.749,65.3046,zadao,匝道  
73.1856,65.2439,zadao,匝道  
70.6308,65.2152,zadao,匝道  
68.0931,64.8581,zadao,匝道  
65.5713,64.5117,zadao,匝道  
63.1062,63.8109,zadao,匝道  
60.7833,62.4673,zadao,匝道  
58.6139,60.7602,zadao,匝道  
56.6206,58.7512,zadao,匝道  
54.8275,56.468,zadao,匝道  
53.3221,53.7539,zadao,匝道  
51.5184,52.2509,zadao,匝道  
49.9725,50.301,zadao,匝道  
48.6398,48.1219,zadao,匝道  
47.0388,46.6765,zadao,匝道  
45.7095,44.846,zadao,匝道  
44.5486,42.8851,zadao,匝道  
43.428,41.0074,zadao,匝道  
42.1185,39.4967,zadao,匝道  
40.6697,38.2089,zadao,匝道  
39.5437,36.5657,zadao,匝道  
38.1625,35.2433,zadao,匝道  
36.9907,33.7193,zadao,匝道  
123.3641,49.6908,siji,司机 
121.1107,51.3867,siji,司机 
119.1169,53.3376,siji,司机 
116.9561,55.1004,siji,司机 
114.6639,56.6886,siji,司机 
112.4227,58.336,siji,司机 
110.0521,59.7901,siji,司机 
107.4398,60.8229,siji,司机 
104.8778,61.8808,siji,司机 
102.4769,63.2212,siji,司机 
99.7691,63.8897,siji,司机 
97.1371,64.6531,siji,司机 
94.6072,65.651,siji,司机 
92.1091,66.7853,siji,司机 
89.2914,66.807,siji,司机 
86.6592,67.4209,siji,司机 
84.0694,68.2894,siji,司机 
81.3073,68.1434,siji,司机 
78.6479,68.618,siji,司机 
75.9796,69.2255,siji,司机 
73.2685,69.4814,siji,司机 
70.5415,69.7761,siji,司机 
67.8453,69.0719,siji,司机 
65.1875,68.419,siji,司机 
62.6196,67.3384,siji,司机 
60.2003,65.7408,siji,司机 
57.9577,63.7597,siji,司机 
55.8046,61.8869,siji,司机 
53.66,60.3279,siji,司机 
51.8399,58.0408,siji,司机 
50.1722,55.7007,siji,司机 
48.5687,53.5202,siji,司机 
47.0491,51.4118,siji,司机 
45.3319,49.8801,siji,司机 
44.218,47.3991,siji,司机 
43.0588,45.2203,siji,司机 
41.8767,43.2411,siji,司机 
41.0966,40.8516,siji,司机 
40.2519,38.7199,siji,司机 
39.4856,36.6314,siji,司机 
38.635,34.7498,siji,司机 
37.8152,32.923,siji,司机 
124.0955,50.3971,chifan,吃饭
122.2246,52.5501,chifan,吃饭
120.1778,54.5362,chifan,吃饭
117.6953,56.0045,chifan,吃饭
115.4901,57.784,chifan,吃饭
113.1577,59.3944,chifan,吃饭
110.8248,61.0014,chifan,吃饭
108.681,62.9476,chifan,吃饭
106.1276,64.2264,chifan,吃饭
103.8097,65.9778,chifan,吃饭
101.1609,67.0812,chifan,吃饭
98.5685,68.3213,chifan,吃饭
95.9259,69.465,chifan,吃饭
93.2421,70.531,chifan,吃饭
90.2852,70.6261,chifan,吃饭
87.4535,71.0512,chifan,吃饭
84.5402,70.9328,chifan,吃饭
81.648,70.6137,chifan,吃饭
